                                               Time Series of Intercensal State Population Estimates: April 1, 1990 to April 1, 2000
                     April 1, 1990
                      Population
                      Estimates July 1, 1990 July 1, 1991 July 1, 1992 July 1, 1993 July 1, 1994 July 1, 1995 July 1, 1996 July 1, 1997 July 1, 1998 July 1, 1999 April 1, 2000
      Geography         Base       Estimate   Estimate      Estimate      Estimate      Estimate    Estimate       Estimate       Estimate   Estimate  Estimate     Census
USA                  248,790,925 249,622,814 252,980,941 256,514,224 259,918,588 263,125,821 266,278,393 269,394,284 272,646,925 275,854,104 279,040,168 281,421,906
Alabama                4,040,389   4,050,055   4,099,156    4,154,014      4,214,202    4,260,229    4,296,800      4,331,102      4,367,935 4,404,701 4,430,141    4,447,100
Alaska                   550,043     553,290     570,193       588,736       599,432      603,308      604,412        608,569        612,968   619,932   624,779      626,932
Arizona                3,665,339   3,684,097   3,788,576    3,915,740      4,065,440    4,245,089    4,432,499      4,586,940      4,736,990 4,883,342 5,023,823    5,130,632
Arkansas               2,350,624   2,356,586   2,383,144    2,415,984      2,456,303    2,494,019    2,535,399      2,572,109      2,601,090 2,626,289 2,651,860    2,673,400
California            29,811,427 29,959,515 30,470,736 30,974,659 31,274,928 31,484,435 31,696,582 32,018,834 32,486,010 32,987,675 33,499,204 33,871,648
Colorado               3,294,473   3,307,618   3,387,119    3,495,939      3,613,734    3,724,168    3,826,653      3,919,972      4,018,293 4,116,639 4,226,018    4,301,261
Connecticut            3,287,116   3,291,967   3,302,895    3,300,712      3,309,175    3,316,121    3,324,144      3,336,685      3,349,348 3,365,352 3,386,401    3,405,565
Delaware                 666,168     669,567     683,080       694,925       706,378      717,545      729,734        740,977        751,487   763,335   774,990      783,600
District of Columbia     606,900     605,321     600,870       597,565       595,301      589,239      580,517        572,377        567,736   565,230   570,213      572,059
Florida               12,938,071 13,033,307 13,369,798 13,650,553 13,927,185 14,239,444 14,537,875 14,853,360 15,186,304 15,486,559 15,759,421 15,982,378
Georgia                6,478,149   6,512,602   6,653,005    6,817,203      6,978,240    7,157,165    7,328,413      7,501,069      7,685,099 7,863,536 8,045,965    8,186,453
Hawaii                 1,108,229   1,113,491   1,136,754    1,158,613      1,172,838    1,187,536    1,196,854      1,203,755      1,211,640 1,215,233 1,210,300    1,211,537
Idaho                  1,006,734   1,012,384   1,041,316    1,071,685      1,108,768    1,145,140    1,177,322      1,203,083      1,228,520 1,252,330 1,275,674    1,293,953
Illinois              11,430,602 11,453,316 11,568,964 11,694,184 11,809,579 11,912,585 12,008,437 12,101,997 12,185,715 12,271,847 12,359,020 12,419,293
Indiana                5,544,156   5,557,798   5,616,388    5,674,547      5,739,019    5,793,526    5,851,459      5,906,013      5,955,267 5,998,880 6,044,969    6,080,485
Iowa                   2,776,831   2,781,018   2,797,613    2,818,401      2,836,972    2,850,746    2,867,373      2,880,000      2,891,119 2,902,872 2,917,634    2,926,324
Kansas                 2,477,588   2,481,349   2,498,722    2,532,394      2,556,547    2,580,513    2,601,007      2,614,554      2,635,292 2,660,598 2,678,338    2,688,418
Kentucky               3,686,892   3,694,048   3,722,328    3,765,469      3,812,206    3,849,088    3,887,427      3,919,535      3,952,747 3,985,390 4,018,053    4,041,769
Louisiana              4,221,826   4,221,532   4,253,279    4,293,003      4,316,428    4,347,481    4,378,779      4,398,877      4,421,071 4,440,344 4,460,811    4,468,976
Maine                  1,227,928   1,231,719   1,237,081    1,238,508      1,242,302    1,242,662    1,243,480      1,249,060      1,254,774 1,259,127 1,266,808    1,274,923
Maryland               4,780,753   4,799,770   4,867,641    4,923,368      4,971,889    5,023,060    5,070,033      5,111,986      5,157,328 5,204,464 5,254,509    5,296,486
Massachusetts          6,016,425   6,022,639   6,018,470    6,028,709      6,060,569    6,095,241    6,141,445      6,179,756      6,226,058 6,271,838 6,317,345    6,349,097
Michigan               9,295,287   9,311,319   9,400,446    9,479,065      9,540,114    9,597,737    9,676,211      9,758,645      9,809,051 9,847,942 9,897,116    9,938,444
Minnesota              4,375,665   4,389,857   4,440,859    4,495,572      4,555,954    4,610,355    4,660,180      4,712,827      4,763,390 4,813,412 4,873,481    4,919,479
Mississippi            2,575,475   2,578,897   2,598,733    2,623,734      2,655,100    2,688,992    2,722,659      2,748,085      2,777,004 2,804,834 2,828,408    2,844,658
Missouri               5,116,901   5,128,880   5,170,800    5,217,101      5,271,175    5,324,497    5,378,247      5,431,553      5,481,193 5,521,765 5,561,948    5,595,211
Montana                  799,065     800,204     809,680       825,770       844,761      861,306      876,553        886,254        889,865   892,431   897,507      902,195
Nebraska               1,578,417   1,581,660   1,595,919    1,611,687      1,625,590    1,639,041    1,656,992      1,673,740      1,686,418 1,695,816 1,704,764    1,711,263
Nevada                 1,201,675   1,220,695   1,296,171    1,351,367      1,411,215    1,499,298    1,581,578      1,666,320      1,764,104 1,853,191 1,934,718    1,998,257
New Hampshire          1,109,252   1,112,384   1,109,929    1,117,784      1,129,458    1,142,560    1,157,561      1,174,719      1,189,425 1,205,940 1,222,014    1,235,786
New Jersey             7,747,750   7,762,963   7,814,676    7,880,508      7,948,915    8,014,306    8,083,242      8,149,596      8,218,808 8,287,418 8,359,592    8,414,350
New Mexico             1,515,069   1,521,574   1,555,305    1,595,442      1,636,453    1,682,398    1,720,394      1,752,326      1,774,839 1,793,484 1,808,082    1,819,046
New York              17,990,778 18,020,784 18,122,510 18,246,653 18,374,954 18,459,470 18,524,104 18,588,460 18,656,546 18,755,906 18,882,725 18,976,457
North Carolina         6,632,448   6,664,016   6,784,280    6,897,214      7,042,818    7,187,398    7,344,674      7,500,670      7,656,825 7,809,121 7,949,361    8,049,313
North Dakota             638,800     637,685     635,753       638,223       641,216      644,804      647,832        650,382        649,716   647,532   644,259      642,200
Ohio                  10,847,115 10,864,162 10,945,762 11,029,431 11,101,140 11,152,454 11,202,751 11,242,827 11,277,357 11,311,536 11,335,454 11,353,140
Oklahoma               3,145,576   3,148,825   3,175,440    3,220,517      3,252,285    3,280,940    3,308,208      3,340,129      3,372,917 3,405,194 3,437,147    3,450,654
Oregon                 2,842,337   2,860,375   2,928,507    2,991,755      3,060,367    3,121,264    3,184,369      3,247,111      3,304,310 3,352,449 3,393,941    3,421,399
Pennsylvania          11,882,842 11,903,299 11,982,164 12,049,450 12,119,724 12,166,050 12,198,403 12,220,464 12,227,814 12,245,672 12,263,805 12,281,054
Rhode Island           1,003,464   1,005,995   1,010,649    1,012,581      1,015,112    1,015,960    1,017,002      1,020,893      1,025,353 1,031,155 1,040,402    1,048,319
                                                                                   Page 1 of 2

